Timestamp,Birthday,Birthday,Zodiac,MBTI Type,,,,,,,,
4/13/2020 2:52,5/12/2000,5/12,Tauras,INTJ,,,,,,,,
4/12/2020 21:39,5/11/2000,5/11,Tauras,INTJ,,,,,,,,
4/13/2020 0:21,5/9/2000,5/9,Tauras,ISTP,,,,,,,,
4/13/2020 8:18,5/8/2000,5/8,Tauras,INTJ,,,,,,,,
4/12/2020 21:38,5/7/2000,5/7,Tauras,INFP,,,,,,,,
4/12/2020 22:46,5/7/2000,5/7,Tauras,INTP,,,,,,,,
4/13/2020 8:19,5/7/2000,5/7,Tauras,INFP,,,,,,,,
4/12/2020 22:37,5/6/2000,5/6,Tauras,INFJ,,,,,,,,
4/13/2020 11:44,5/6/2000,5/6,Tauras,ENTP,,,,,,,,
4/13/2020 7:59,5/5/2000,5/5,Tauras,ISTP,,,,,,,,
4/13/2020 8:43,5/5/2000,5/5,Tauras,INFP,,,,,,,,
4/13/2020 2:18,5/3/2000,5/3,Tauras,INTJ,,,,,,,,
4/13/2020 1:32,5/2/2000,5/2,Tauras,INFP,,,,,,,,
4/13/2020 1:32,4/29/2000,4/29,Tauras,INFP,,,,,,,,
4/13/2020 8:53,4/29/2000,4/29,Tauras,INTJ,,,,,,,,
4/13/2020 4:34,4/26/2000,4/26,Tauras,ENTP,,,,,,,,
4/13/2020 0:56,4/25/2000,4/25,Tauras,ISTJ,,,,,,,,
4/12/2020 20:14,4/24/2000,4/24,Tauras,INFJ,,,,,,,,
4/12/2020 21:43,4/23/2000,4/23,Tauras,INFJ,,,,,,,,
4/13/2020 7:15,4/22/2000,4/22,Tauras,INTJ,,,,,,,,
4/13/2020 7:22,4/21/2000,4/21,Tauras,INTJ,,,,,,,,
4/13/2020 0:59,4/20/2000,4/20,Tauras,ESTP,,,,,,,,
4/12/2020 20:53,4/18/2000,4/18,Aries,ISTJ,,,,,,,,
4/13/2020 10:54,4/18/2000,4/18,Aries,INFP,,,,,,,,
4/13/2020 4:56,4/17/2000,4/17,Aries,INTP,,,,,,,,
4/12/2020 20:14,4/13/2000,4/13,Aries,INFJ,,,,,,,,
